Event Id,Restaurant Id,Restaurant Name,Photo URL,Event Title,Event Start Date,Event End Date
301593,203518,The Huddle Sports Bar and Grill - Citymax Hotels Bur Dubai,https://b.zmtcdn.com/data/zomato_events/photos/2bb/bb1286199eb8c8f77ebf7455a374f2bb_1547986496.jpg,The Huddle Grub Lunch,2019-01-20,2019-05-31
301586,203518,The Huddle Sports Bar and Grill - Citymax Hotels Bur Dubai,https://b.zmtcdn.com/data/zomato_events/photos/9ea/989a476f830eda3ccb3ef261dd72b9ea_1547985842.jpg,Buy 2 Get 1 Free,2019-01-20,2019-05-31
301585,203518,The Huddle Sports Bar and Grill - Citymax Hotels Bur Dubai,https://b.zmtcdn.com/data/zomato_events/photos/3a0/8b9bf892e2ef79f49accd6de9971d3a0_1547985669.jpg,The Happiest Hour,2019-01-21,2019-05-31
301591,203518,The Huddle Sports Bar and Grill - Citymax Hotels Bur Dubai,https://b.zmtcdn.com/data/zomato_events/photos/736/203493c7e850568fee40c1c067a3e736_1547986136.jpg,Meat Me on Monday,2019-01-21,2019-05-31
301888,203518,The Huddle Sports Bar and Grill - Citymax Hotels Bur Dubai,https://b.zmtcdn.com/data/zomato_events/photos/a5e/fd4db2fe7a25d77a7ed9aa887d5bca5e_1548056317.jpg,Late 8,2019-01-21,2019-05-31
301592,203518,The Huddle Sports Bar and Grill - Citymax Hotels Bur Dubai,https://b.zmtcdn.com/data/zomato_events/photos/52c/4cd50e340e5b3c55ca7eb308c6cc752c_1547986414.jpg,Taco Tuesdays,2019-01-22,2019-05-31
301588,203518,The Huddle Sports Bar and Grill - Citymax Hotels Bur Dubai,https://b.zmtcdn.com/data/zomato_events/photos/693/937fd356d2ca17bd783af9e8c08e5693_1547985954.jpg,Huddlelicious Tuesdays,2019-01-22,2019-05-31
301590,203518,The Huddle Sports Bar and Grill - Citymax Hotels Bur Dubai,https://b.zmtcdn.com/data/zomato_events/photos/a21/3c034906d352f6c84607e51c0407ea21_1547986041.jpg,Knock-Out Thursdays,2019-01-24,2019-05-31
241424,5702990,Jazz@PizzaExpress,https://b.zmtcdn.com/data/zomato_events/photos/362/c7569ed593b7d9c87447177d3146b362_1543470109.jpg,2 for 1 Monday’s,2018-08-02,2019-08-12
308928,5702990,Jazz@PizzaExpress,https://b.zmtcdn.com/data/zomato_events/photos/ad5/41d00ff0bf1a6d2c8895f9fd01c22ad5_1549380125.jpg,2 for 1 Brunch - Every Friday,2019-02-05,2019-12-31
332697,5702486,Ghee Rice,NA,Grand Iftar Buffet 2019,2019-05-04,2019-06-04
252193,18506282,Sibyullee,https://b.zmtcdn.com/data/zomato_events/photos/5c3/96df23d96ea3bf0ddfc7a735bca8e5c3_1548077681.jpg,Unlimited Korean BBQ,2018-09-07,2019-07-31
